id,question_text,chapter,class_level,semester,difficulty,marks,answer
20,"PASCAL শব্দটির অক্ষরগুলির অভিধান অনুযায়ী rank কত?",Permutations and Combinations,11,2,Hard,5,"A, C, L, P, S অক্ষরগুলিকে ক্রমানুসারে সাজিয়ে গণনা করতে হবে। Rank = 433।"
21,"(2x - 3y)^5 -এর বিস্তৃতি নির্ণয় কর।",Binomial Theorem,11,2,Easy,2,"32x^5 - 240x^4y + 720x^3y^2 - 1080x^2y^3 + 810xy^4 - 243y^5"
22,"(x + 1/x)^10 -এর বিস্তৃতিতে মধ্যপদটি নির্ণয় কর।",Binomial Theorem,11,2,Medium,2,"n=10 (জোড়), তাই মধ্যপদ একটি, (10/2 + 1) = 6-তম পদ। T6 = 10C5 * x^5 * (1/x)^5 = 252।"
23,"(1+x)^26 -এর বিস্তৃতিতে বৃহত্তম সহগটি কত?",Binomial Theorem,11,2,Medium,2,"বৃহত্তম সহগটি হল মধ্যপদের সহগ, যা 26C13।"
24,"1, 1/2, 1/4, 1/8, ... গুণোত্তর প্রগতিটির (GP) অসীম সংখ্যক পদের যোগফল নির্ণয় কর।",Sequences and Series,11,2,Easy,2,"S_inf = a / (1-r) = 1 / (1 - 1/2) = 2।"
25,"দুটি সংখ্যার সমান্তরীয় মধ্যক (AM) 10 এবং গুণোত্তরীয় মধ্যক (GM) 8 হলে, সংখ্যা দুটি নির্ণয় কর।",Sequences and Series,11,2,Medium,4,"(a+b)/2 = 10, √ab = 8. a+b=20, ab=64। সমাধান করে পাই a=16, b=4।"
26,"9 + 99 + 999 + ... ধারাটির n-তম পদ পর্যন্ত যোগফল নির্ণয় কর।",Sequences and Series,11,2,Hard,5,"(10-1) + (100-1) + ... = (10+100+...) - n = [10(10^n - 1)/9] - n।"
27,"(-2, 6) এবং (4, 8) বিন্দু দুটির সংযোজক রেখাংশের লম্ব সমদ্বিখণ্ডকের সমীকরণ নির্ণয় কর।",Straight Lines,11,2,Medium,4,"মধ্যবিন্দু (1, 7)। প্রবণতা = (8-6)/(4-(-2)) = 1/3। লম্ব রেখার প্রবণতা = -3। সমীকরণ: y-7 = -3(x-1) ⇒ 3x+y-10=0।"
28,"মূলবিন্দু থেকে 3x - 4y - 15 = 0 সরলরেখার লম্ব দূরত্ব নির্ণয় কর।",Straight Lines,11,2,Easy,1,"দূরত্ব = |3(0) - 4(0) - 15| / √(3²+ (-4)²) = 15/5 = 3 একক।"
29,"দেখাও যে (1, 1), (-1, 5) এবং (3, -3) বিন্দু তিনটি সমরেখ।",Straight Lines,11,2,Medium,2,"যেকোনো দুটি বিন্দু দিয়ে গঠিত সরলরেখার প্রবণতা সমান হবে।"
30,"একটি উপবৃত্তের (ellipse) উৎকেন্দ্রতা (eccentricity) 1/2 এবং নাভিদ্বয়ের স্থানাঙ্ক (±2, 0) হলে, তার সমীকরণ নির্ণয় কর।",Conic Sections,11,2,Medium,4,"c=2, e=c/a=1/2 ⇒ a=4। b²=a²(1-e²) = 16(1-1/4)=12। সমীকরণ: x²/16 + y²/12 = 1।"
31,"x² = -16y অধিবৃত্তটির (parabola) শীর্ষবিন্দু, নাভি এবং নিয়ামকের সমীকরণ নির্ণয় কর।",Conic Sections,11,2,Medium,4,"শীর্ষ (0,0), a=4, নাভি (0, -4), নিয়ামক y=4।"
32,"9x² - 16y² = 144 পরাবৃত্তের (hyperbola) নাভিলম্বের দৈর্ঘ্য নির্ণয় কর।",Conic Sections,11,2,Easy,2,"x²/16 - y²/9 = 1. a²=16, b²=9। নাভিলম্বের দৈর্ঘ্য = 2b²/a = 2*9/4 = 9/2।"
33,"(1, 2, 3) এবং (3, 5, 9) বিন্দু দুটির মধ্যবর্তী দূরত্ব নির্ণয় কর।",Introduction to 3D Geometry,11,2,Easy,1,"দূরত্ব = √((3-1)²+(5-2)²+(9-3)²) = √(4+9+36) = √49 = 7 একক।"
34,"একটি সরলরেখা অক্ষগুলির সঙ্গে 90°, 135°, 45° কোণ করলে, তার দিক কোসাইন (direction cosines) নির্ণয় কর।",Introduction to 3D Geometry,11,2,Easy,2,"l=cos(90°)=0, m=cos(135°)=-1/√2, n=cos(45°)=1/√2।"
35,"Y-Z সমতলের সমীকরণ কী?",Introduction to 3D Geometry,11,2,Easy,1,"x = 0"
36,"মান নির্ণয় কর: lim (x→2) (x³ - 8) / (x - 2)",Limits and Derivatives,11,2,Easy,2,"lim (x→2) (x-2)(x²+2x+4) / (x-2) = 2²+2*2+4 = 12।"
37,"সংজ্ঞার সাহায্যে sin(x) -এর অন্তরকলজ নির্ণয় কর।",Limits and Derivatives,11,2,Medium,4,"f'(x) = lim (h→0) [sin(x+h)-sin(x)]/h = ... = cos(x)।"
38,"y = x³ + 2x² - 7x + 8 হলে, dy/dx নির্ণয় কর।",Limits and Derivatives,11,2,Easy,1,"dy/dx = 3x² + 4x - 7"
39,"নিম্নের বিবৃতিটির না-সূচক (negation) লেখ: 'সকল ভারতীয় বাংলা বলে'।",Mathematical Reasoning,11,2,Easy,1,"'এমন অন্তত একজন ভারতীয় আছেন যিনি বাংলা বলেন না' বা 'সকল ভারতীয় বাংলা বলে না'।"
40,"2, 5, 8, 11, 14 সংখ্যাগুলির সমক পার্থক্য (standard deviation) নির্ণয় কর।",Statistics,11,2,Medium,4,"মধ্যক = 8। ভেদাঙ্ক = [(2-8)²+(5-8)²+...]/5 = (36+9+0+9+36)/5 = 18। সমক পার্থক্য = √18 = 3√2।"
41,"একটি ঝোঁকশূন্য ছক্কা চালা হলে, 3-এর গুণিতক পড়ার সম্ভাবনা কত?",Probability,11,2,Easy,1,"অনুকূল ঘটনা {3, 6}। সম্ভাবনা = 2/6 = 1/3।"
42,"A এবং B দুটি ঘটনা এমন যে P(A)=0.5, P(B)=0.6 এবং P(A∩B)=0.2। P(A∪B) নির্ণয় কর।",Probability,11,2,Easy,2,"P(A∪B) = P(A)+P(B)-P(A∩B) = 0.5+0.6-0.2 = 0.9।"
43,"একটি থলিতে 4টি লাল ও 6টি কালো বল আছে। পুনঃস্থাপন না করে দুটি বল তোলা হলে, দুটি বলই কালো হওয়ার সম্ভাবনা কত?",Probability,11,2,Medium,2,"(6/10) * (5/9) = 30/90 = 1/3।"
44,"f: R→R অপেক্ষকটি f(x)=x²+1 দ্বারা সংজ্ঞাত। এটি কি এক-এক (one-one)? যুক্তিসহ লেখ।",Relations and Functions,12,1,Easy,2,"না। কারণ f(1)=2 এবং f(-1)=2, কিন্তু 1 ≠ -1।"
45,"sin⁻¹(sin(2π/3)) -এর মুখ্য মান নির্ণয় কর।",Inverse Trigonometric Functions,12,1,Easy,1,"sin⁻¹(sin(π - π/3)) = sin⁻¹(sin(π/3)) = π/3।"
46,"প্রমাণ কর: 2tan⁻¹(1/2) + tan⁻¹(1/7) = tan⁻¹(31/17)",Inverse Trigonometric Functions,12,1,Medium,4,"2tan⁻¹(1/2) = tan⁻¹(2*(1/2) / (1-(1/2)²)) = tan⁻¹(4/3)। এরপর tan⁻¹(x)+tan⁻¹(y) সূত্র প্রয়োগ করতে হবে।"
47,"যদি A = [[1, 2], [3, 4]] হয়, তবে A + A' নির্ণয় কর। (A' হল A-এর পরিবর্ত ম্যাট্রিক্স)",Matrices,12,1,Easy,1,"A' = [[1, 3], [2, 4]]। A+A' = [[2, 5], [5, 8]]।"
48,"A = [[2, 5], [1, 3]] হলে, adj(A) নির্ণয় কর।",Matrices,12,1,Easy,2,"adj(A) = [[3, -5], [-1, 2]]"
49,"ম্যাট্রিক্স পদ্ধতিতে সমাধান কর: 2x+5y=1, 3x+2y=7",Matrices,12,1,Hard,5,"X = A⁻¹B সূত্র ব্যবহার করে। A⁻¹ = (1/-11) * [[2, -5], [-3, 2]]। সমাধান করে x=3, y=-1।"
50,"দেখাও যে: |[1, a, a²], [1, b, b²], [1, c, c²]| = (a-b)(b-c)(c-a)",Determinants,12,1,Medium,4,"R2→R2-R1 এবং R3→R3-R1 রূপান্তর প্রয়োগ করে প্রমাণ করা যায়।"
51,"k -এর কোন মানের জন্য (k, 2), (2, 4) এবং (3, 2) বিন্দু তিনটি দ্বারা গঠিত ত্রিভুজের ক্ষেত্রফল 4 বর্গএকক হবে?",Determinants,12,1,Medium,4,"(1/2)|k(4-2) + 2(2-2) + 3(2-4)| = 4। |2k - 6| = 8। সমাধান করে k = 7 বা k = -1।"
52,"y = log(sin(x)) হলে dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Easy,2,"dy/dx = (1/sin(x)) * cos(x) = cot(x)।"
53,"f(x) = |x| অপেক্ষকটি x=0 বিন্দুতে সন্তত কিন্তু অবকলনযোগ্য নয় - প্রমাণ কর।",Continuity and Differentiability,12,1,Medium,4,"সন্ততার জন্য LHL=RHL=f(0)=0 দেখাতে হবে। অবকলনযোগ্যতার জন্য LHD=-1 এবং RHD=1, যা সমান নয়।"
54,"x = a(cos t + t sin t), y = a(sin t - t cos t) হলে, dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Hard,5,"dx/dt = at cos t, dy/dt = at sin t। dy/dx = (dy/dt)/(dx/dt) = tan t।"
55,"y = sin⁻¹(2x√(1-x²)) হলে dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Medium,4,"x = sinθ প্রতিস্থাপন করলে, y = sin⁻¹(sin 2θ) = 2θ = 2sin⁻¹x। dy/dx = 2/√(1-x²)।"
56,"একটি বৃত্তের ব্যাসার্ধ সমহারে 3 সেমি/সেকেন্ড হারে বৃদ্ধি পায়। যখন ব্যাসার্ধ 10 সেমি, তখন বৃত্তের ক্ষেত্রফল কি হারে বৃদ্ধি পায়?",Application of Derivatives,12,1,Medium,2,"A = πr²। dA/dt = 2πr (dr/dt) = 2π(10)(3) = 60π বর্গসেমি/সেকেন্ড।"
57,"f(x) = 2x³ - 3x² - 36x + 7 অপেক্ষকটির কোন বিস্তারে বর্ধিষ্ণু (increasing)?",Application of Derivatives,12,1,Medium,4,"f'(x) = 6x² - 6x - 36 > 0 ⇒ x² - x - 6 > 0 ⇒ (x-3)(x+2) > 0। বিস্তার: (-∞, -2) ∪ (3, ∞)।"
58,"একটি 28 মিটার দীর্ঘ তারকে কেটে দুটি টুকরো করা হল। একটি দিয়ে বর্গক্ষেত্র ও অন্যটি দিয়ে বৃত্ত বানানো হলে, তাদের মোট ক্ষেত্রফল কখন ক্ষুদ্রতম হবে?",Application of Derivatives,12,1,Hard,5,"বর্গক্ষেত্রের বাহুর দৈর্ঘ্য হবে 28π / (π+4) মিটার।"
59,"x=1 -এ y = x³ - x + 1 বক্রের স্পর্শকের সমীকরণ নির্ণয় কর।",Application of Derivatives,12,1,Easy,2,"x=1 হলে y=1। dy/dx = 3x²-1। x=1 -এ প্রবণতা=2। সমীকরণ: y-1 = 2(x-1) ⇒ y=2x-1।"
60,"সমাকলন কর: ∫(sec²x / (1+tanx)) dx",Integrals,12,2,Easy,2,"1+tanx = z ধরলে, sec²x dx = dz। ∫(1/z)dz = log|z|+C = log|1+tanx|+C।"
61,"মান নির্ণয় কর: ∫(x e^x) dx",Integrals,12,2,Medium,4,"আংশিক সমাকলন (integration by parts) ব্যবহার করে: x e^x - ∫e^x dx = x e^x - e^x + C।"
62,"মান নির্ণয় কর: ∫(dx / (x²+2x+2))",Integrals,12,2,Medium,4,"∫(dx / ((x+1)² + 1)) = tan⁻¹(x+1) + C।"
63,"মান নির্ণয় কর: ∫(0 to π/2) (sin x / (sin x + cos x)) dx",Integrals,12,2,Hard,5,"I = ∫(0 to π/2) f(x)dx = ∫(0 to π/2) f(π/2 - x)dx ধর্ম ব্যবহার করে। 2I = ∫(0 to π/2) 1 dx = π/2। I = π/4।"
64,"y=√x এবং x=√y বক্র দুটি দ্বারা সীমাবদ্ধ অঞ্চলের ক্ষেত্রফল নির্ণয় কর।",Application of Integrals,12,2,Medium,5,"বক্র দুটি হল y²=x এবং x²=y। ছেদবিন্দু (0,0) ও (1,1)। ক্ষেত্রফল = ∫(0 to 1) (√x - x²)dx = 1/3 বর্গএকক।"
65,"x-অক্ষ এবং y=sin(x) বক্র দ্বারা x=0 থেকে x=π পর্যন্ত সীমাবদ্ধ অঞ্চলের ক্ষেত্রফল নির্ণয় কর।",Application of Integrals,12,2,Easy,2,"∫(0 to π) sin(x) dx = [-cos(x)](0 to π) = -(-1) - (-1) = 2 বর্গএকক।"
66,"dy/dx = (1+y²)/(1+x²) অবকল সমীকরণটির সমাধান কর।",Differential Equations,12,2,Easy,2,"∫(dy/(1+y²)) = ∫(dx/(1+x²)) ⇒ tan⁻¹(y) = tan⁻¹(x) + C।"
67,"(x²+y²)dx - 2xy dy = 0 সমসত্ত্ব (homogeneous) অবকল সমীকরণটি সমাধান কর।",Differential Equations,12,2,Hard,5,"y=vx প্রতিস্থাপন করে সমাধান করতে হবে। সমাধান: x² - y² = Cx।"
68,"y = A cos(x) + B sin(x) -এর অবকল সমীকরণ গঠন কর, যেখানে A, B ধ্রুবক।",Differential Equations,12,2,Medium,4,"d²y/dx² + y = 0"
69,"vec(a) = 2i+j-2k এবং vec(b) = i+j হলে, vec(a) -এর উপর vec(b) -এর অভিক্ষেপ (projection) নির্ণয় কর।",Vector Algebra,12,2,Easy,2,"(vec(a) . vec(b)) / |vec(a)| = (2+1) / √(4+1+4) = 3/3 = 1।"
70,"যদি |vec(a)+vec(b)| = |vec(a)-vec(b)| হয়, তবে vec(a) এবং vec(b) ভেক্টর দুটির মধ্যবর্তী কোণ কত?",Vector Algebra,12,2,Medium,2,"বর্গ করে সরল করলে 4(vec(a).vec(b))=0 পাওয়া যায়। সুতরাং, vec(a) ⊥ vec(b), কোণ 90°।"
71,"একটি সামান্তরিকের দুটি সন্নিহিত বাহু vec(a)=i+2j+3k এবং vec(b)=3i-2j+k হলে, তার ক্ষেত্রফল নির্ণয় কর।",Vector Algebra,12,2,Medium,4,"ক্ষেত্রফল = |vec(a) x vec(b)|। vec(a) x vec(b) = 8i+8j-8k। ক্ষেত্রফল = √(64+64+64) = 8√3 বর্গএকক।"
72,"(1, 2, 3) বিন্দুগামী এবং 3x+4y-5z=0 সমতলের সমান্তরাল একটি সমতলের সমীকরণ নির্ণয় কর।",Three Dimensional Geometry,12,2,Easy,2,"3(x-1)+4(y-2)-5(z-3)=0 ⇒ 3x+4y-5z+4=0।"
73,"(x-5)/1 = (y+2)/-2 = (z-1)/3 সরলরেখা এবং 2x+y-z=7 সমতলের মধ্যবর্তী কোণ নির্ণয় কর।",Three Dimensional Geometry,12,2,Medium,4,"sinθ = |(1*2)+(-2*1)+(3*-1)| / (√14 * √6) = |-3|/√84। θ = sin⁻¹(3/√84)।"
74,"মূলবিন্দু থেকে (2, 3, 4) বিন্দুগামী একটি সরলরেখার কার্টেসীয় সমীকরণ নির্ণয় কর।",Three Dimensional Geometry,12,2,Easy,1,"x/2 = y/3 = z/4"
75,"LPP: Z=5x+3y -এর সর্বোচ্চ মান নির্ণয় কর, যখন বাধাসমূহ 3x+5y≤15, 5x+2y≤10 এবং x, y ≥ 0।",Linear Programming,12,2,Hard,5,"প্রান্তবিন্দুগুলি হল (0,0), (2,0), (0,3), (20/19, 45/19)। সর্বোচ্চ মান 235/19, যা (20/19, 45/19) বিন্দুতে।"
76,"একটি মুদ্রা 10 বার টস করা হলে, ঠিক 6টি হেড পড়ার সম্ভাবনা কত?",Probability,12,2,Medium,4,"দ্বিপদ বিভাজন: P(X=6) = 10C6 * (1/2)^6 * (1/2)^4 = 210 / 1024।"
77,"যদি P(A)=7/13, P(B)=9/13 এবং P(A∩B)=4/13 হয়, তবে P(A|B) -এর মান নির্ণয় কর।",Probability,12,2,Easy,2,"P(A|B) = P(A∩B) / P(B) = (4/13) / (9/13) = 4/9।"
78,"একটি বাক্সে 10টি ভালো এবং 3টি খারাপ আম আছে। যদি দুটি আম তোলা হয়, তবে দুটিই ভালো হওয়ার সম্ভাবনা কত?",Probability,12,2,Medium,2,"(10C2) / (13C2) = 45 / 78 = 15/26।"
79,"যদি A এবং B দুটি স্বাধীন ঘটনা হয় এবং P(A)=0.3, P(B)=0.6 হয়, তবে P(A এবং B) -এর মান নির্ণয় কর।",Probability,12,2,Easy,1,"P(A∩B) = P(A) * P(B) = 0.3 * 0.6 = 0.18।"
80,"একটি ছক্কা চালার পরীক্ষায়, E = {1,3,5}, F = {2,3} এবং G = {2,3,4,5} ঘটনাগুলি দেওয়া আছে। P((E∪F)|G) নির্ণয় কর।",Probability,12,2,Hard,4,"E∪F = {1,2,3,5}, (E∪F)∩G = {2,3,5}। P((E∪F)|G) = n((E∪F)∩G) / n(G) = 3/4।"
81,"tan(15°) -এর মান নির্ণয় কর।",Trigonometric Functions,11,1,Easy,2,"tan(45°-30°) = (1 - 1/√3) / (1 + 1/√3) = 2 - √3।"
82,"A = {a, b, c} সেটের পাওয়ার সেট (power set) লেখ।",Sets,11,1,Medium,2,"P(A) = {∅, {a}, {b}, {c}, {a,b}, {a,c}, {b,c}, {a,b,c}}"
83,"(i)^101 -এর মান নির্ণয় কর।",Complex Numbers,11,1,Easy,1,"i^(4*25 + 1) = (i^4)^25 * i = 1^25 * i = i।"
84,"nPr = 720 এবং nCr = 120 হলে, r -এর মান নির্ণয় কর।",Permutations and Combinations,11,2,Medium,2,"nPr / nCr = r! ⇒ 720/120 = 6 = r! ⇒ r = 3।"
85,"(x - 1/x)² এর বিস্তৃতিতে কতগুলি পদ থাকবে?",Binomial Theorem,11,2,Easy,1,"n+1 = 2+1 = 3টি পদ।"
86,"3x + 4y = 12 সরলরেখাটি দ্বারা অক্ষদ্বয়ের সঙ্গে উৎপন্ন ত্রিভুজের ক্ষেত্রফল কত?",Straight Lines,11,2,Easy,2,"x/4 + y/3 = 1। ছেদিতাংশ 4 ও 3। ক্ষেত্রফল = 1/2 * 4 * 3 = 6 বর্গএকক।"
87,"x²/25 + y²/9 = 1 উপবৃত্তের নাভিলম্বের দৈর্ঘ্য কত?",Conic Sections,11,2,Easy,2,"2b²/a = 2*9/5 = 18/5।"
88,"মান নির্ণয় কর: lim (x→0) (tan x / x)",Limits and Derivatives,11,2,Easy,1,"1"
89,"y = 5^x হলে dy/dx কত?",Limits and Derivatives,11,2,Easy,1,"5^x * log(5)"
90,"A এবং B দুটি পরস্পর পৃথক (mutually exclusive) ঘটনা হলে, P(A∩B) কত?",Probability,11,2,Easy,1,"0"
91,"যদি f(x) = (x-1)/(x+1) হয়, তবে f(f(x)) কত?",Relations and Functions,12,1,Medium,4,"f( (x-1)/(x+1) ) = ... = -1/x।"
92,"cos⁻¹(-1/√2) -এর মুখ্য মান কত?",Inverse Trigonometric Functions,12,1,Easy,1,"π - cos⁻¹(1/√2) = π - π/4 = 3π/4।"
93,"যদি A = [[cos α, sin α], [-sin α, cos α]] হয়, তবে A⁻¹ নির্ণয় কর।",Matrices,12,1,Medium,2,"A⁻¹ = (1/1) * [[cos α, -sin α], [sin α, cos α]] = A'।"
94,"যদি A একটি 3x3 ক্রমের বর্গ ম্যাট্রিক্স হয়, তবে |adj A| -এর মান কত?",Determinants,12,1,Medium,2,"|A|^(n-1) = |A|^(3-1) = |A|²।"
9á,"x-এর সাপেক্ষে x^x -এর অন্তরকলজ নির্ণয় কর।",Continuity and Differentiability,12,1,Medium,4,"y=x^x ⇒ log y = x log x। dy/dx = x^x (1+log x)।"
96,"f(x) = x³ - 3x অপেক্ষকটির চরম ও অবম মান নির্ণয় কর।",Application of Derivatives,12,1,Hard,5,"f'(x)=3x²-3=0 ⇒ x=±1। f''(x)=6x। x=1 এ অবম মান -2, x=-1 এ চরম মান 2।"
97,"সমাকলন কর: ∫ tan²(x) dx",Integrals,12,2,Easy,2,"∫(sec²x - 1)dx = tan(x) - x + C।"
98,"মান নির্ণয় কর: ∫(-1 to 1) x¹⁷ cos⁴x dx",Integrals,12,2,Medium,2,"যেহেতু f(x) = x¹⁷ cos⁴x একটি অযুগ্ম অপেক্ষক, সমাকলটির মান 0।"
99,"(dy/dx) + y/x = x² অবকল সমীকরণটির সমাকল গুণক (IF) নির্ণয় কর।",Differential Equations,12,2,Medium,2,"IF = e^(∫(1/x)dx) = e^(log x) = x।"
100,"দেখাও যে i-j, i+j এবং 3j ভেক্টর তিনটি একটি সমকোণী ত্রিভুজ গঠন করে।",Vector Algebra,12,2,Medium,4,"ভেক্টর তিনটিকে a, b, c ধরে দেখাও যে a+b=c (বা যেকোনো দুটি যোগফল তৃতীয়টির সমান) এবং যেকোনো দুটি ভেক্টরের ডট গুণফল শূন্য।"
101,"একটি সরলরেখার দিক অনুপাত (direction ratios) 2, -1, -2 হলে, তার দিক কোসাইনগুলি নির্ণয় কর।",Three Dimensional Geometry,12,2,Easy,2,"(2/3, -1/3, -2/3)"
102,"P(not A) = 0.7, P(B) = 0.7 এবং P(B|A) = 0.5 হলে, P(A|B) নির্ণয় কর।",Probability,12,2,Hard,4,"P(A)=0.3। P(A∩B) = P(B|A)P(A) = 0.5*0.3 = 0.15। P(A|B)=P(A∩B)/P(B) = 0.15/0.7 = 3/14।"
103,"যদি A ⊂ B হয়, তবে A ∩ B = ?",Sets,11,1,Easy,1,"A"
104,"যদি A = {1, 2} এবং B = {3, 4} হয়, তবে A×B -তে সম্বন্ধের সংখ্যা কত?",Relations and Functions,11,1,Medium,2,"n(A×B)=4। সম্বন্ধের সংখ্যা = 2^4 = 16।"
105,"cos(38°)cos(22°) - sin(38°)sin(22°) -এর মান কত?",Trigonometric Functions,11,1,Easy,2,"cos(38°+22°) = cos(60°) = 1/2।"
106,"2-3i জটিল রাশির অনুবন্ধী (conjugate) জটিল রাশিটি কী?",Complex Numbers,11,1,Easy,1,"2+3i"
107,"'EQUATION' শব্দটির অক্ষরগুলি থেকে সব স্বরবর্ণ একত্রে রেখে কত রকমে সাজানো যায়?",Permutations and Combinations,11,2,Medium,4,"স্বরবর্ণ (E,U,A,I,O) 5টি, ব্যঞ্জনবর্ণ 3টি। (5! * 4!) = 120 * 24 = 2880।"
108,"(1-2x)^(-1) -এর বিস্তৃতিতে x^r -এর সহগ কত?",Binomial Theorem,11,2,Medium,2,"2^r"
109,"একটি সমান্তর প্রগতির p-তম পদ q এবং q-তম পদ p হলে, তার (p+q)-তম পদ কত?",Sequences and Series,11,2,Hard,4,"0"
110,"y-অক্ষের সমান্তরাল এবং (3, -4) বিন্দুগামী সরলরেখার সমীকরণ কী?",Straight Lines,11,2,Easy,1,"x = 3"
